"Nazwa","Cena","Popularność","RAM(GB)","GPU","Pamięć GPU(GB)","CPU","Taktowanie(GHz)","Rdzenie","Wątki","Przekątna","System","Indeks"
"HP Victus 16-d1004nw i7-12700H / 16 GB / 512 GB / RTX 3060 / 144 Hz (6E2Y8EA)",5399.0,6,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-12700H",1.7,14,20,16.1,"Brak",123
"Asus VivoBook S 16X OLED i5-12500H / 16 GB / 1 TB / W11 (S5602ZA-L2081W)",5399.0,0,16,"Intel Iris Xe",0,"Intel Core i5-12500H",1.8,12,16,16.0,"Windows 11 Home",124
"Dell Latitude 5530 (N210L5530MLK15EMEA_VP)",5499.0,24,8,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,15.6,"Windows 11 Pro",125
"Asus Vivobook S 16X Ryzen 7 6800H / 16 GB / 1 TB / W11 / 120 Hz (M5602RA-KV020W)",5599.0,6,16,"AMD Radeon 680M",0,"AMD Ryzen 7 6800H",3.2,8,16,16.0,"Windows 11 Home",126
"HP EliteBook 850 G8 (5P6W4EA)",5680.99,15,16,"Intel Iris Xe",0,"Intel Core i7-1165G7",2.8,4,8,15.6,"Windows 11 Pro",127
"LG Gram 14 2022 (14Z90Q-G.AA54Y)",5799.0,7,16,"Intel Iris Xe",0,"Intel Core i5-1240P",1.2,12,16,14.0,"Windows 11 Home",128
"LG Gram 16 2022 (16Z90Q-G.AA78Y)",5999.0,4,16,"Intel Iris Xe",0,"Intel Core i7-1260P",1.5,12,16,16.0,"Windows 11 Home",129
"Dell Latitude 5430 (N205L5430MLK14EMEA_VP)",5999.0,9,16,"Intel Iris Xe",0,"Intel Core i5-1245U",1.2,10,12,14.0,"Windows 11 Pro",130
"Asus ROG Strix G15 G513 (G513RM-HQ064W)",6599.0,1,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"AMD Ryzen 7 6800H",3.2,8,16,15.6,"Windows 11 Home",131
"Lenovo Legion 5 15ACH6H (82JU00ACPB)",7299.0,10,16,"NVIDIA GeForce RTX 3070 Laptop GPU",8,"AMD Ryzen 7 5800H",3.2,8,16,15.6,"Windows 10 Home",132
"Dream Machines RG4060-15PL28 i7-13700HX / 16 GB / 1 TB / RTX 4060 / 144 Hz",7799.0,0,16,"NVIDIA GeForce RTX 4060 Laptop GPU",8,"Intel Core i7-13700HX",1.5,16,24,15.6,"Brak",133
"ADATA Xenia 15 (XENIA15I7G11H3070LX)",7999.0,1,32,"NVIDIA GeForce RTX 3070 Laptop GPU",8,"Intel Core i7-11800H",2.3,8,16,15.6,"Windows 10 Home",134
"Lenovo Legion 5 Pro 16ITH6H (82JD0090PB) / 32 GB RAM / 1 TB SSD PCIe / Windows 11 Home",7999.0,3,32,"NVIDIA GeForce RTX 3070 Laptop GPU",8,"Intel Core i7-11800H",2.3,8,16,16.0,"Windows 11 Home",135
"LG Gram 17 2022 (17Z90Q-G.AD78Y)",8299.0,0,32,"Intel Iris Xe",0,"Intel Core i7-1260P",1.5,12,16,17.0,"Windows 11 Home",136
"Apple MacBook Air 13 M1 (MGN63ZE/A/R1/D2) + 16 GB RAM + 1 TB GB SSD",8699.0,1,16,"Apple M1",0,"Apple M1",3.2,8,8,13.3,"macOS",137
"Gigabyte Aero 14 OLED BMF i7-13700H / 16 GB / 1 TB / W11 / RTX 4050 / 90 Hz (BMF-72EEBB4SO)",8799.0,0,16,"NVIDIA GeForce RTX 4050 Laptop GPU",6,"Intel Core i7-13700H",1.8,14,20,14.0,"Windows 11 Home",138
"Asus ROG Zephyrus M16 (GU603ZM-K8016W)",8899.0,2,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-12700H",2.3,14,20,16.0,"Windows 11 Home",139
"Asus ROG Flow X16 GV601 (GV601RM-M5033W)",10999.0,1,32,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"AMD Ryzen 7 6800HS",3.2,8,16,16.0,"Windows 11 Home",140
"Gigabyte Aero 16 OLED BSF i7-13700H / 16 GB / 1 TB / W11 / RTX 4070 (BSF-73EE994SO)",11299.0,0,16,"NVIDIA GeForce RTX 4070 Laptop GPU",8,"Intel Core i7-13700H",1.8,14,20,16.0,"Windows 11 Home",141
"Asus ProArt Studiobook Pro 16 OLED i7-11800H / 64 GB / 2 TB / W11 Pro / RTX A3000 (W7600H3A-L2012X)",11999.0,0,64,"NVIDIA Quadro RTX A3000",6,"Intel Core i7-11800H",2.3,8,16,16.0,"Windows 11 Pro",142
"Asus ROG Strix Scar 15 G533 (G533ZX-LN043)",14199.0,1,32,"NVIDIA GeForce RTX 3080 Ti Laptop GPU",16,"Intel Core i9-12900H",3.8,14,20,15.6,"Brak",143
"MSI Creator Z16HXStudio B13VGTO-001PL i9-13950HX / 64 GB / 2 TB / W11 Pro / RTX 4070 / 120 Hz",18499.0,1,64,"NVIDIA GeForce RTX 4070 Laptop GPU",8,"Intel Core i9-13950HX",1.6,24,32,16.0,"Windows 11 Pro",144
"Dell Vostro 3590 16 GB RAM/ 512 GB M.2 PCIe/ Windows 10 Pro",3439.0,69,16,"Intel UHD Graphics 620",0,"Intel Core i5-10210U",1.6,4,8,15.6,"Windows 10 Pro",145
"MSI Modern 15 A11MU-1041PL i5-1155G7 / 16 GB / 1 TB / W11",3836.61,64,16,"Intel Iris Xe",0,"Intel Core i5-1155G7",2.5,4,8,15.6,"Windows 11 Home",146
"HP 15s-eq2008nw (402N6EA)",2899.0,1,8,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5500U",2.1,6,12,15.6,"Windows 10 Home",147
"HP 255 G7 (2D232EA)",2842.0,4,8,"AMD Radeon RX Vega 8",0,"AMD Ryzen 5 3500U",2.1,4,8,15.6,"Brak",148
"HP Pavilion 15-cs3031nw (1F7H8EA) 16 GB RAM/ 512 GB M.2 PCIe/ Windows 10 Home",2051.46,23,16,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,15.6,"Windows 10 Home",149
"HP 255 G8 (2M9P2EA)",1687.51,1,8,"AMD Radeon RX Vega 3",0,"AMD Athlon Gold 3150U",2.4,2,4,15.6,"Windows 10 Home",150
"Dell Vostro 3590 (N3503BVN3590BTPCEE01_2005)",3074.73,216,8,"Intel UHD Graphics 620",0,"Intel Core i5-10210U",1.6,4,8,15.6,"Windows 10 Pro",151
"HP 255 G7 (15A08EA) 16 GB RAM/ 512 GB M.2 PCIe/",2539.0,1,16,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3200U",2.6,2,4,15.6,"Brak",152
"Lenovo IdeaPad 3 15ADA05 (81W4002TEU)",2327.87,128,8,"AMD Radeon RX Vega 6",0,"AMD Ryzen 5 4500U",2.3,6,6,15.6,"Windows 10 Home",153
"Lenovo IdeaPad Gaming 3 15IHU6 (82K100HEPB)",3043.13,8,8,"NVIDIA GeForce GTX 1650",4,"Intel Core i5-11300H",3.1,4,8,15.6,"Brak",154
"Dell Vostro 3590 8 GB RAM/ 512 GB M.2 PCIe/ Windows 10 Pro",3329.0,9,8,"Intel UHD Graphics 620",0,"Intel Core i5-10210U",1.6,4,8,15.6,"Windows 10 Pro",155
"MSI GF63 Thin 11UC-215XPL / 16 GB RAM / 512 GB SSD PCIe",3499.0,19,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,15.6,"Brak",156
"Apple MacBook Air 13 M1 (MGN93ZE/A)",4754.99,11,8,"Apple M1",0,"Apple M1",3.2,8,8,13.3,"macOS",157
"Dell Vostro 3590 16 GB RAM/ 256 GB M.2 PCIe/ Windows 10 Pro",3399.0,22,16,"Intel UHD Graphics 620",0,"Intel Core i5-10210U",1.6,4,8,15.6,"Windows 10 Pro",158
"Lenovo ThinkPad E15 G2 (20TD00GSPB)",4315.6,4,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 11 Pro",159
"MSI Katana GF76 11UE-245XPL / 16 GB RAM / 1 TB + 512 GB SSD PCIe",5749.0,10,16,"NVIDIA GeForce RTX 3060 Laptop GPU",6,"Intel Core i7-11800H",2.3,8,16,17.3,"Brak",160
"Lenovo V130-15IKB (81HN00PMPB)",3223.33,1,8,"Intel UHD Graphics 620",0,"Intel Core i5-8250U",1.6,4,8,15.6,"Windows 10 Pro",161
"MSI Katana GF76 11UC-468XPL / 16 GB RAM / 512 GB SSD PCIe",4149.0,17,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,17.3,"Brak",162
"Lenovo Legion 5 15ARH05 (82B500AHPB)",3813.23,23,8,"NVIDIA GeForce GTX 1650",4,"AMD Ryzen 5 4600H",3.0,6,12,15.6,"Brak",163
"Asus VivoBook 15 X515EA (X515EA-BQ1445) / 16 GB RAM / 512 GB SSD PCIe",2299.0,3,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Brak",164
"HP 255 G8 (5N3L2EA)",2399.0,33,8,"AMD Radeon Graphics",0,"AMD Ryzen 5 5500U",2.1,6,12,15.6,"Windows 11 Home",165
"HP 250 G7 (14Z89EA)",2749.0,4,8,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,15.6,"Windows 10 Pro",166
"Lenovo V17-IIL (82GX008BPB)",3690.99,2,8,"NVIDIA GeForce MX330",2,"Intel Core i5-1035G1",1.0,4,8,17.3,"Windows 10 Pro",167
"HP Envy x360 13-ar0010nw (8BH00EA)",3899.0,2,8,"AMD Radeon RX Vega 8",0,"AMD Ryzen 5 3500U",2.1,4,8,13.3,"Windows 10 Home",168
"MSI GF63 Thin 11UC-214XPL / 16 GB RAM / 512 GB SSD PCIe",4299.0,2,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Brak",169
"MSI GF63 Thin 11UC-214XPL / 16 GB RAM / 512 GB SSD PCIe / 1 TB SSD",4599.0,1,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,15.6,"Brak",170
"Dell Vostro 3510 (N8012VN3510EMEA01_2201) / 32 GB RAM / 512 GB SSD PCIe / Windows 10 Pro",5049.0,1,32,"Intel Iris Xe",0,"Intel Core i7-1165G7",2.8,4,8,15.6,"Windows 10 Pro",171
"MSI Katana GF76 11UD-466XPL",5199.0,49,16,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i7-11800H",2.3,8,16,17.3,"Brak",172
"Lenovo Yoga 7 16IAH7 (82UF003JPB)",5845.2,5,16,"Intel Arc A370M",4,"Intel Core i5-12500H",2.5,12,16,16.0,"Windows 11 Home",173
"Lenovo IdeaPad 3 15ITL6 (82H801QQPB)",1826.99,13,8,"Intel UHD Graphics Xe G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Windows 11 S",174
"Lenovo V15 G2 ALC Ryzen 5 5500U / 8 GB / 512 GB / W11 (82KD00G0PB) / 16 GB RAM / 512 GB SSD PCIe / Windows 11 Home",2249.0,41,16,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5500U",2.1,6,12,15.6,"Windows 11 Home",175
"HP 255 G7 (15A08EA) 8 GB RAM/ 512 GB M.2 PCIe/",2449.0,1,8,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3200U",2.6,2,4,15.6,"Brak",176
"HP Probook 470 G9 (6S7D3EA)",3280.48,1,8,"NVIDIA GeForce MX550",2,"Intel Core i5-1235U",0.9,10,12,17.3,"Brak",177
"Lenovo IdeaPad Gaming 3 15IHU6 (82K101FAPB) / 16 GB RAM / 512 GB SSD PCIe",3299.0,15,16,"NVIDIA GeForce GTX 1650",4,"Intel Core i5-11320H",3.2,4,8,15.6,"Brak",178
"Lenovo G50-80 (80E5034BPB)",3259.75,0,4,"AMD Radeon R5 M330",2,"Intel Core i5-5200U",2.2,2,4,15.6,"Windows 10 Home",179
"HP ProBook 455 G8 (4K7C4EA) / 16 GB RAM / 512 GB SSD PCIe / Windows 10 Pro",3499.0,22,16,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5600U",2.3,6,12,15.6,"Windows 10 Pro",180
"Lenovo IdeaPad Gaming 3 15IHU6 i7-11370H / 16 GB / 512 GB / RTX 3050 Ti / 120 Hz (82K100GGPB)",4689.4,32,16,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i7-11370H",3.3,4,8,15.6,"Brak",181
"Dell Vostro 5401 (N5111VN5401EMEA01_2101)",4490.0,41,8,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,14.0,"Windows 10 Pro",182
"Toshiba Satellite Pro (C50-E-11L)",2275.0,36,8,"Intel UHD Graphics G1",0,"Intel Core i3-7020U",2.3,2,4,15.6,"Windows 10 Pro",183
"Umax VisionBook 14Wr Plus (UMM230142)",686.32,2,4,"Intel UHD Graphics 600",0,"Intel Celeron N4120",1.1,4,4,14.1,"Windows 10 Pro",184
"Umax VisionBook 10Wr Tab (UMM220V18)",906.39,4,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,10.1,"Windows 10 Pro",185
"Acer Aspire 3 A315-34 (NX.HXDEP.005)",1380.0,4,4,"Intel UHD Graphics 600",0,"Intel Celeron N4020",1.1,2,2,15.6,"Windows 11 S",186
"Lenovo Ideapad Slim 1-14AST-05 (2_336098)",1214.92,17,4,"AMD Radeon R4",0,"AMD A4-9120e",1.5,2,2,14.0,"Windows 10 S",187
"HP 15s-eq1000ua (28Z66EA)",1699.0,3,8,"AMD Radeon Graphics",0,"AMD Ryzen 3 3250U",2.6,2,4,15.6,"Windows 10 Home",188
"HP 14-dk0013nw (1F7L9EA)",1781.0,36,4,"AMD Radeon R4",0,"AMD A6-9225",2.6,2,2,14.0,"Windows 10 S",189
"HP 255 G7 (1Q3J6ESR)",1899.0,1,4,"AMD Radeon RX Vega 2",0,"AMD Athlon Silver 3050U",2.3,2,2,15.6,"Windows 10 Home",190
"HP Pavilion x360 14-dy0115nd (3Y6H5EA)",1899.0,2,4,"Intel UHD Graphics Xe G4",0,"Intel Pentium Gold 7505",2.0,2,4,14.0,"Windows 11 Home",191
"Asus VivoBook 15 D515 Ryzen 3 3250U / 8 GB / 256 GB (D515DA-EJ1397)",1940.98,8,8,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3250U",2.6,2,4,15.6,"Brak",192
"HP 250 G9 (6F200EA) / 16 GB RAM / 256 GB SSD PCIe / Windows 11 Home",1999.0,4,16,"Intel UHD Graphics",0,"Intel Core i3-1215U",0.9,6,8,15.6,"Windows 11 Home",193
"Asus Vivobook 14X X1403 i5-12500H / 8 GB / 512 GB (X1403ZA-LY220A)",1793.77,43,8,"Intel Iris Xe",0,"Intel Core i5-12500H",1.8,12,16,14.0,"Brak",194
"HP 15-db1037nw (19M13EA#AKD)",2099.0,1,4,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3200U",2.6,2,4,15.6,"Windows 10 Home",195
"HP 250 G9 (6F200EA) / 16 GB RAM / 512 GB SSD PCIe / Windows 11 Home",2099.0,13,16,"Intel UHD Graphics",0,"Intel Core i3-1215U",0.9,6,8,15.6,"Windows 11 Home",196
"HP 15s-eq2344nw (712D3EA) / 16 GB RAM / 512 GB SSD PCIe / Windows 11 Home",2099.0,9,16,"AMD Radeon RX Vega 6",0,"AMD Ryzen 3 5300U",2.6,4,8,15.6,"Windows 11 Home",197
"HP 15s-eq2105nw (477U8EA)",2129.0,1,8,"AMD Radeon RX Vega 6",0,"AMD Ryzen 3 5300U",2.6,4,8,15.6,"Brak",198
"Asus VivoBook 15 R564JA (R564JA-UH31T)",1999.0,2,4,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Windows 10 Home",199
"Asus VivoBook 15 X515EA (X515EA-BQ1445)",2195.4,16,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Brak",200
"Acer Extensa EX215-32 (NX.EG8EP.008) / 8 GB RAM / 512 GB SSD PCIe / 512 GB SSD",2099.0,1,8,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Brak",201
"Lenovo Ideapad 3-15IIL (81WE004VPB) / 8 GB RAM / 256 GB SSD PCIe / Windows 10 S",2349.0,3,8,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Windows 10 S",202
"Dell Vostro 3591 (N306ZVN3591EMEA01_2101_HOME) / 12 GB RAM / 1 TB SSD PCIe / Windows 10 Home",2399.0,1,12,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Windows 10 Home",203
"Asus VivoBook 17 M712 (M712DA-WH34)",2399.0,1,8,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3250U",2.6,2,4,17.3,"Windows 10 Home",204
"Acer Aspire 3 (NX.HT8EP.002)",2399.0,1,4,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Windows 10 S",205
"HP 255 G7 (15A08EA) 12 GB RAM/ 256 GB M.2 PCIe/",2439.0,1,12,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3200U",2.6,2,4,15.6,"Brak",206
"Asus VivoBook 15 X515EA (X515EA-BQ1445) / 16 GB RAM / 512 GB SSD PCIe / 512 GB SSD",2449.0,1,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Brak",207
"Lenovo IdeaPad 3 17ITL6 (82H900D4PB)",2299.0,2,8,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,17.3,"Windows 10 Home",208
"HP 15-db1020nw (9CR75EA)",2499.0,1,8,"AMD Radeon RX Vega 8",0,"AMD Ryzen 5 3500U",2.1,4,8,15.6,"Windows 10 Home",209
"Acer Aspire 3 (NX.HT8EP.002) / 8 GB RAM / 256 GB SSD PCIe / Windows 10 S",2499.0,1,8,"Intel UHD Graphics G1",0,"Intel Core i3-1005G1",1.2,2,4,15.6,"Windows 10 S",210
"HP 255 G7 (15A08EA)",2501.5,1,8,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3200U",2.6,2,4,15.6,"Brak",211
"Asus VivoBook 15 X515EA (X515EA-BQ1445) / 16 GB RAM / 512 GB SSD PCIe / 1 TB SSD",2599.0,3,16,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Brak",212
"Asus VivoBook 15 X515EA (X515EA-BQ1226) / 8 GB RAM / 1 TB SSD PCIe",2649.0,1,8,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Brak",213
"HP 250 G7 (14Z75EA)",2687.61,3,8,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,15.6,"Brak",214
"HP 14s-dq1005nw (8TY54EA)",2799.0,1,8,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,14.0,"Windows 10 Home",215
"HP 15s-fq1103nw (13G46EA)",2899.0,1,8,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,15.6,"Windows 10 Home",216
"Lenovo IdeaPad 3 17ITL (82H900GKPB) / 12 GB RAM / 512 GB SSD PCIe / Windows 11 Home",2899.0,9,12,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,17.3,"Windows 11 Home",217
"HP 255 G7 (15A08EA) 8 GB RAM/ 512 GB M.2 PCIe/ Windows 10 Home",2969.0,1,8,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3200U",2.6,2,4,15.6,"Windows 10 Home",218
"Lenovo IdeaPad 3 17ITL (82H900GKPB) / 12 GB RAM / 512 GB SSD PCIe / 512 GB SSD / Windows 11 Home",2999.0,1,12,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,17.3,"Windows 11 Home",219
"HP Envy 13-ah1013nw (6AT21EA)",3099.0,1,8,"Intel UHD Graphics 620",0,"Intel Core i5-8265U",1.6,4,8,13.3,"Windows 10 Home",220
"Asus VivoBook 15 X515EA (X515EA-BQ1445) / 12 GB RAM / 512 GB SSD PCIe / 1 TB SSD / Windows 10 Home",3099.0,1,12,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 10 Home",221
"HP 255 G7 (15A08EA) 12 GB RAM/ 256 GB M.2 PCIe/ Windows 10 Pro",3149.0,1,12,"AMD Radeon RX Vega 3",0,"AMD Ryzen 3 3200U",2.6,2,4,15.6,"Windows 10 Pro",222
"Lenovo IdeaPad Gaming 3 15IHU6 (82K100HEPB) / 16 GB RAM / 512 GB SSD PCIe",3199.0,3,16,"NVIDIA GeForce GTX 1650",4,"Intel Core i5-11300H",3.1,4,8,15.6,"Brak",223
"HP Pavilion 15-eh1204nw (4H346EA)",3199.0,1,8,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5500U",2.1,6,12,15.6,"Windows 11 Home",224
"Asus VivoBook 15 X515EA (X515EA-BQ1226) / 16 GB RAM / 512 GB SSD PCIe / 512 GB SSD / Windows 10 Home",3249.0,2,16,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Windows 10 Home",225
"HP 250 G9 (6F2C7EA) / 16 GB RAM / 512 GB SSD PCIe / Windows 11 Pro",3299.0,12,16,"Intel Iris Xe",0,"Intel Core i5-1245U",0.9,10,12,15.6,"Windows 11 Pro",226
"Lenovo IdeaPad Gaming 3 15ACH6 (82K200QYPB) / 16 GB RAM / 1 TB SSD PCIe",3349.0,6,16,"NVIDIA GeForce GTX 1650",4,"AMD Ryzen 5 5600H",3.3,6,12,15.6,"Brak",227
"HP Pavilion 15-cs3008nw (8TZ76EA)",3399.0,1,16,"NVIDIA GeForce MX250",2,"Intel Core i5-1035G1",1.0,4,8,15.6,"Windows 10 Home",228
"Lenovo IdeaPad Gaming 3 15ACH6 (82K200QYPB) / 32 GB RAM / 512 GB SSD PCIe",3399.0,4,32,"NVIDIA GeForce GTX 1650",4,"AMD Ryzen 5 5600H",3.3,6,12,15.6,"Brak",229
"HP Pavilion 15-cs3025nw (9CS11EA)",3499.0,12,8,"NVIDIA GeForce MX250",2,"Intel Core i5-1035G1",1.0,4,8,15.6,"Windows 10 Home",230
"HP Pavilion 13-an0002nw (5MM07EA)",3499.0,1,8,"Intel UHD Graphics 620",0,"Intel Core i5-8265U",1.6,4,8,13.3,"Windows 10 Home",231
"HP 250 G7 (14Z75EA) / 16 GB RAM / 512 GB SSD PCIe / Windows 10 Home",3499.0,1,16,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,15.6,"Windows 10 Home",232
"Asus VivoBook 15 X515EA (X515EA-BQ1226W) / 24 GB RAM / 512 GB SSD PCIe / 1 TB SSD / Windows 11 Home",3499.0,1,24,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Windows 11 Home",233
"Lenovo IdeaPad 5 Pro 14ITL6 i5-1135G7 / 16 GB / 512 GB / W11 / MX450 (82L300E4PB)",3556.0,4,16,"NVIDIA GeForce MX450",2,"Intel Core i5-1135G7",2.4,4,8,14.0,"Windows 11 Home",234
"Asus VivoBook 15 X515EA (X515EA-BQ1226) / 16 GB RAM / 512 GB SSD PCIe / 1 TB SSD / Windows 10 Pro",3599.0,1,16,"Intel UHD Graphics G4",0,"Intel Core i3-1115G4",3.0,2,4,15.6,"Windows 10 Pro",235
"MSI GF63 Thin 11UC-215XPL / 16 GB RAM / 1 TB SSD PCIe",3649.0,12,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,15.6,"Brak",236
"Asus ExpertBook B1 B1500 (B1500CEAE-BQ1697R)",3525.59,1,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 10 Pro",237
"HP Pavilion 15-cs3020nw (8XL06EA)",3699.0,1,8,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,15.6,"Windows 10 Home",238
"HP Pavilion 15-eg0009nw (2M0R7EA)",3699.0,2,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 10 Home",239
"HP ProBook 455 G8 (4K7C4EA) / 32 GB RAM / 1 TB SSD PCIe / Windows 10 Pro",3699.0,8,32,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5600U",2.3,6,12,15.6,"Windows 10 Pro",240
"HP Pavilion 15-cs3032nw (1F7H9EA)",3799.0,1,8,"Intel UHD Graphics G1",0,"Intel Core i5-1035G1",1.0,4,8,15.6,"Windows 10 Home",241
"Lenovo Legion 5 17ACH6 (82K00045US)",3799.0,7,8,"NVIDIA GeForce GTX 1650",4,"AMD Ryzen 5 5600H",3.3,6,12,17.3,"Windows 11 Home",242
"Lenovo ThinkPad E15 G2 (20TD00GNPB)",3917.99,5,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 11 Pro",243
"HP ProBook 450 G8 (43A20EA)",3999.0,2,8,"Intel Iris Xe",0,"Intel Core i5-1135G7",2.4,4,8,15.6,"Windows 10 Pro",244
"Dell Vostro 3525 Ryzen 5 5625U / 16 GB / 512 GB / W11 Pro (N1301VNB3525EMEA01_PS)",4064.99,10,16,"AMD Radeon RX Vega 7",0,"AMD Ryzen 5 5625U",2.3,6,12,15.6,"Windows 11 Pro",245
"Lenovo Legion 5 15ITH6 (82JK005BPB)",4095.0,34,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,15.6,"Brak",246
"HP Pavilion 15-eh1134nw (4H3T7EA)",4099.0,1,8,"AMD Radeon RX Vega 8",0,"AMD Ryzen 7 5700U",1.8,8,16,15.6,"Windows 10 Home",247
"Lenovo IdeaPad Gaming 3 15ACH6 (82K200QYPB) / 32 GB RAM / 512 GB SSD PCIe / Windows 10 Pro",4099.0,1,32,"NVIDIA GeForce GTX 1650",4,"AMD Ryzen 5 5600H",3.3,6,12,15.6,"Windows 10 Pro",248
"MSI Katana GF76 11UC-468XPL / 16 GB RAM / 1 TB SSD PCIe",4299.0,16,16,"NVIDIA GeForce RTX 3050 Laptop GPU",4,"Intel Core i5-11400H",2.7,6,12,17.3,"Brak",249
"MSI GF63 Thin 11UD-213XPL / 16 GB RAM / 512 GB SSD PCIe / 512 GB SSD / Windows 10 Home",4399.0,1,16,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",4,"Intel Core i5-11400H",2.2,6,12,15.6,"Windows 10 Home",250
"Acer Nitro 5 AN515-56 (NH.QAMEP.00N) / 16 GB RAM / 1 TB SSD PCIe / Windows 10 Home",3336.75,3,16,"NVIDIA GeForce GTX 1650",4,"Intel Core i5-11300H",2.6,4,8,15.6,"Windows 10 Home",251
"HP Pavilion Gaming 15-dk1056nw (364D8EA)",4499.0,1,8,"NVIDIA GeForce RTX 2060 Max-Q",6,"Intel Core i5-10300H",2.5,4,8,15.6,"Windows 10 Home",252
"Lenovo ThinkPad E14 Gen 3 (20Y700AJPB)",4529.74,2,16,"AMD Radeon Graphics",0,"AMD Ryzen 5 5500U",2.1,6,12,14.0,"Windows 11 Pro",253
"Lenovo ThinkPad E14 G4 i5-1235U / 8GB / 256 GB / W11 Pro (21E300ESPB)",4635.8,5,8,"Intel Iris Xe",0,"Intel Core i5-1235U",0.9,10,12,14.0,"Windows 11 Pro",254
"Asus ZenBook 14X i7-1165G7 / 16 GB / 512 GB / W11 / 90 Hz (UX5401EA-L7099W)",4910.6,5,16,"Intel Iris Xe",0,"Intel Core i7-1165G7",2.8,4,8,14.0,"Windows 11 Home",255
